Group,Subgroup,2020-03-22 13:54:00,2020-03-23 21:00:00,2020-03-24 21:00:00,2020-03-25 13:15:00,2020-03-25 21:30:00,2020-03-26 12:45:00,2020-03-26 21:00:00,2020-03-27 12:30:00,2020-03-27 20:00:00,2020-03-28 14:00:00,2020-03-28 20:00:00,2020-03-29 13:30:00,2020-03-29 20:15:00,2020-03-30 14:30:00,2020-03-30 20:30:00,2020-03-31 13:30:00,2020-03-31 20:30:00,2020-04-01 13:30:00,2020-04-01 20:30:00,2020-04-02 13:30:00,2020-04-02 20:30:00,2020-04-03 13:30:00,2020-04-03 20:30:00,2020-04-04 12:30:00,2020-04-04 21:00:00,2020-04-05 13:45:00,2020-04-05 20:45:00,2020-04-06 13:30:00,2020-04-06 21:30:00,2020-04-07 13:30:00,2020-04-07 20:45:00,2020-04-08 13:15:00,2020-04-08 21:30:00,2020-04-09 13:30:00,2020-04-09 21:00:00,2020-04-10 20:00:00,2020-04-11 13:00:00,2020-04-11 20:15:00,2020-04-12 13:00:00,2020-04-12 21:00:00,2020-04-13 20:30:00,2020-04-13 20:30:00,2020-04-14 22:00:00,2020-04-15 22:00:00,2020-04-15 22:00:00,2020-04-16 22:00:00,2020-04-17 22:00:00,2020-04-18 22:00:00,2020-04-19 22:00:00,2020-04-20 22:00:00,2020-04-21 22:00:00,2020-04-22 22:00:00,2020-04-23 22:00:00,2020-04-24 22:00:00,2020-04-25 22:00:00,2020-04-26 22:00:00,2020-04-27 22:00:00,2020-04-28 22:00:00,2020-04-29 22:00:00,2020-04-30 22:00:00,2020-05-01 22:00:00,2020-05-02 22:00:00,2020-05-03 22:00:00,2020-05-04 22:00:00,2020-05-05 22:00:00,2020-05-06 22:00:00,2020-05-07 22:00:00,2020-05-08 22:00:00,2020-05-09 22:00:00,2020-05-10 22:00:00,2020-05-11 22:00:00,2020-05-12 22:00:00,2020-05-13 22:00:00,2020-05-14 22:00:00,2020-05-15 22:00:00,2020-05-16 18:00:00-04:00
Age Group,0 to 17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,10,10,9,8,8,8,10
Age Group,18 to 44,0,3,5,5,15,15,16,16,20,22,32,33,39,41,54,57,67,66,78,80,90,92,110,115,132,132,140,140,148,180,201,203,219,230,241,265,264,270,273,284,301,301,309,344,344,353,373,380,395,414,426,434,453,458,472,479,482,497,507,531,534,538,545,549,557,566,575,577,583,587,596,601,609,610,620,625
Age Group,45 to 64,17,31,43,45,57,57,77,78,104,125,161,162,185,189,216,218,259,271,333,342,382,384,442,453,535,535,587,587,652,777,853,875,1020,1070,1143,1283,1298,1357,1367,1449,1529,1529,1581,1722,1722,1788,1915,1988,2048,2153,2243,2331,2418,2458,2563,2620,2649,2742,2803,2908,2937,2973,3028,3078,3119,3170,3219,3242,3316,3348,3383,3413,3438,3449,3526,3556
Age Group,65 to 74,12,23,44,46,70,72,91,90,110,120,158,159,183,185,215,221,255,268,334,339,376,385,461,470,557,557,612,613,686,789,879,894,1064,1105,1187,1335,1348,1415,1428,1511,1611,1611,1683,1870,1870,1962,2086,2179,2253,2378,2469,2546,2672,2727,2843,2884,2910,3027,3101,3217,3260,3296,3363,3403,3458,3511,3581,3603,3664,3708,3753,3788,3816,3841,3921,3963
Age Group,75 and over,34,68,100,103,138,137,181,182,216,249,321,324,368,374,428,435,514,533,628,635,713,722,853,866,1028,1030,1131,1133,1250,1454,1609,1628,1952,2016,2204,2543,2550,2697,2718,2935,3145,3145,3263,3623,3623,3783,4070,4260,4401,4611,4801,4973,5196,5310,5575,5718,5772,6013,6152,6336,6417,6505,6593,6687,6797,6907,7006,7051,7180,7273,7356,7419,7475,7511,7678,7731
Sex,Female,20,47,74,77,111,112,149,151,181,206,261,264,302,308,344,352,401,417,512,524,589,597,706,720,836,837,920,920,1017,1187,1309,1257,1526,1579,1724,1975,1990,2093,2115,2279,2434,2434,2530,2897,2897,3033,3265,3399,3517,3697,3853,3994,4168,4263,4475,4576,4624,4821,4930,5082,5144,5204,5284,5366,5446,5551,5629,5671,5745,5826,5885,5961,6002,6044,6169,6223
Sex,Male,43,78,118,122,169,169,216,215,269,311,411,414,474,482,569,579,694,721,861,872,971,985,1159,1183,1416,1417,1550,1553,1719,2013,2232,2154,2527,2641,2848,3239,3257,3433,3459,3690,3941,3941,4095,4652,4652,4843,5161,5385,5557,5837,6083,6281,6564,6682,6974,7108,7171,7452,7632,7899,7988,8094,8236,8340,8471,8596,8745,8805,8912,9014,9116,9211,9310,9361,9547,9634
Borough,Bronx,14,28,41,43,60,61,80,79,101,110,152,153,188,193,215,230,262,289,360,382,421,438,480,514,576,576,627,627,679,850,902,936,1001,1080,1135,1241,1270,1308,1350,1400,1512,1512,1584,1749,1749,1802,1917,1975,2036,2144,2207,2272,2342,2395,2480,2529,2568,2660,2723,2845,2868,2886,2936,2997,3046,3082,3122,3137,3177,3209,3247,3268,3284,3293,3344,3369
Borough,Brooklyn,14,27,42,43,64,64,81,82,102,118,167,168,185,188,216,215,261,264,328,328,385,388,485,486,610,611,668,669,738,820,946,961,1185,1220,1341,1510,1511,1618,1620,1746,1869,1869,1954,2189,2189,2293,2490,2606,2705,2807,2929,3040,3190,3255,3420,3494,3516,3678,3768,3902,3952,4014,4080,4127,4194,4260,4337,4373,4460,4524,4596,4636,4676,4705,4813,4847
Borough,Manhattan,10,19,30,30,43,43,55,55,65,79,93,94,103,103,119,119,129,132,165,165,178,179,215,217,264,264,277,277,302,348,387,389,500,519,554,629,630,662,664,710,756,756,771,927,927,1004,1088,1148,1185,1259,1316,1359,1390,1405,1487,1532,1550,1600,1645,1699,1722,1752,1774,1797,1822,1874,1909,1913,1946,1973,2000,2022,2048,2057,2126,2147
